ztfname,gal_type,SN_component,sn_bulge_prob,sn_bar_prob,SB_local_c,SB_local_g,SB_local_r,SB_local_g_err,SB_local_r_err,R25_g,R25_r,R25_err,gal_Re,gal_ecc,gal_pa
ZTF17aadlxmv,bulge,elliptical,0.0,0.0,0.5560400645628931,19.030106800834968,18.474066736272075,0.0093844760650792,0.0093514455625817,16.8342003081688,18.842085488003523,0.0177782321746927,4.707929724737741,0.3593466809379776,1.1854328510822862
ZTF18aaadqua,disk,disk,0.0,0.0,0.3434292107194068,36.57043140383127,36.22700219311186,0.0152429830007921,0.0146320648965742,12.459297367196417,13.695637098349046,0.0731991927677437,6.560039137921997,0.2399561099292263,2.837128078662761
ZTF18aaanzph,bulge+bar+disk,disk,0.0245316997105198,2.1838628350473253e-05,0.7049599980051724,23.63545134579523,22.930491347790056,0.0706022624036308,0.0782996898054546,28.93009596475786,36.413112928131824,0.422888094454358,19.927063784235017,0.0007663635145697,-0.9770286320168532
ZTF18aaaqexr,bulge,elliptical,0.0,0.0,0.6099868476025918,18.05755570109795,17.44756885349536,0.0284847088306743,0.0283830795350622,24.703388192989248,30.36953488637272,0.0549361325776933,4.9023786203658,0.2815432354011743,1.5595664781578682
ZTF18aabtiph,bulge,elliptical,0.0,0.0,0.684924332512054,18.98105666260926,18.296132330097205,0.0122724178345525,0.0123642411367626,8.20623933083942,9.784496976950257,0.0091200770836125,1.6756160378818985,0.2219547709880495,1.1054097893961343
ZTF18aabxrjp,bulge,elliptical,0.0,0.0,0.6978863078006405,19.87918690917837,19.18130060137773,0.0631770326632205,0.0626623767541651,11.892091730679338,15.112947888995276,0.055923087065815,2.4194881930812797,0.3842226521252516,2.3451746370088693
ZTF18aadzfso,bulge,elliptical,0.0,0.0,0.6507464297915746,18.82228324344682,18.171536813655244,0.0198932660175149,0.0194667481522613,16.194945298150813,19.19542162299286,0.0361871240476635,4.671477373243674,0.310011391260977,0.0645121115368978
ZTF18aagrgao,bulge,elliptical,0.0,0.0,0.6911455283695496,21.504943718860968,20.81379819049142,0.183149996707907,0.1833270788037617,28.04333592264008,37.054425208192974,0.9870766559260084,12.500148495260069,0.2624453688745397,0.4727841737085764
ZTF18aahesrp,disk,disk,0.0,0.0,0.4406000736548279,22.4082426857472,21.96764261209237,0.0132155432502223,0.0133514132345641,3.876338590697368,4.183007027770806,0.0114614674956635,1.2683244090894166,0.2384544673887371,1.4107993951889712
ZTF18aahfbqp,bulge,elliptical,0.0,0.0,0.7076815444473041,17.759294057748278,17.051612513300974,0.0290619393575846,0.0290332872679494,28.81132949676101,38.21709860309308,0.1359063495865764,11.03709070079517,0.2666455278448856,0.2249859475973346
ZTF18aahfgyz,bulge,elliptical,0.0,0.0,0.7596969680287486,21.083694927120952,20.323997959092203,0.0547740047484109,0.0549409906226291,16.39083573599726,22.847576582189053,0.2644752247923033,9.932173502978925,0.075129793863186,2.7120449266116173
ZTF18aahheaj,disk,disk,0.0,0.0,0.432039576598541,23.35454733038632,22.92250775378778,0.0135650597302942,0.0119901005544062,8.600714028239002,9.640593389431451,0.0338820860536595,4.385966024203256,0.0355084384418861,1.949098366797592
ZTF18aahshhp,bulge,elliptical,0.0,0.0,0.5799158748097817,19.09941246584748,18.519496591037697,0.0295014825365819,0.02946146345684,21.566755372983955,25.903524436985148,0.0359038587909299,3.858108149536766,0.5321116312928263,2.1127670080789143
ZTF18aahsmrw,bulge,elliptical,0.0,0.0,0.6660349783237685,19.34425113212997,18.6782161538062,0.0510218256716979,0.0513457492431246,14.52080076085137,18.51544267855009,0.1120051655687598,5.080685436286568,0.1987688764301288,2.279067423242482
ZTF18aahtjsc,bulge+disk,disk,0.1810959138578714,0.0,0.7483907916669423,20.973173847696355,20.224783056029413,0.027924266594945,0.0282300228899649,15.184203776848616,17.565375854532455,0.0229648898431069,5.815039214223872,0.5979242340847533,0.92300413016361
ZTF18aaibcxu,bulge+bar+disk,disk,3.3686196216476975e-05,0.0516471477976976,0.6849057752027967,23.85486878332501,23.169963008122213,0.0289166731517195,0.0290423209179889,18.411462830246407,21.283212016354664,0.0524712604268242,7.7456538358464195,0.2407750296564115,0.7335239125172387
ZTF18aaifxvz,bulge,elliptical,0.0,0.0,0.7956832785355985,18.36999502812964,17.57431174959404,0.0157141320704337,0.0159255902627132,10.14719022276538,12.578949371081078,0.0167614552750497,2.1244376893852617,0.0875694193066752,1.7327817659876674
ZTF18aaimxdx,bulge,elliptical,0.0,0.0,0.7052044967933462,24.12977350828545,23.424569011492103,0.0508298345853952,0.0519700628445663,7.864030637641963,10.02168675840619,0.0983499969857847,3.814764719948978,0.0766999938977818,0.3918867463756136
ZTF18aaitowa,bulge,elliptical,0.0,0.0,0.7700625149006406,26.66274675718433,25.89268424228369,0.2186915993461078,0.218724029404586,15.769041621257156,21.97998003886768,0.9224900044779468,9.510588116083534,0.1948279966363796,1.6588567225641362
ZTF18aaixjrc,disk,disk,0.0,0.0,0.592377710937555,19.4908757072736,18.898497996336047,0.0171073269349136,0.0172635085775123,7.385434454455496,8.144001517552208,0.0265050847787471,2.3334640194935687,0.2640212295133407,2.7621854550421467
ZTF18aajtlbf,bulge,elliptical,0.0,0.0,0.7411076515759305,21.868815045512303,21.127707393936376,0.0498641404713239,0.0496415005357219,17.86607991625148,23.902630319070635,0.1610068516087654,7.212851691344788,0.1719783070098923,2.6025845599830686
ZTF18aajwdwz,disk,disk,0.0,0.0,0.4687994975056995,25.17657285517992,24.70777335767422,0.0159589039196497,0.0118079641317905,18.92570930193073,20.917597136384494,0.051217689459775,7.74254214128059,0.0852019360567563,2.203050385690839
ZTF18aakcsqt,disk,disk,0.0,0.0,0.4789155711182467,22.23408734836869,21.75517177725044,0.0124385962113948,0.0121099349219641,8.404911828189235,9.631447306364866,0.0350548188291738,4.666883863354253,0.4886082334625976,1.8430206619391456
ZTF18aakglgw,bulge,elliptical,0.0,0.0,0.8018523062458875,23.70286035177588,22.90100804552999,0.0325958890350394,0.0327445863889932,34.0540652539611,45.53231876545808,0.1448523203939104,11.071571686735316,0.3649221290525477,2.43197479574083
ZTF18aakiwbs,bulge,elliptical,0.0,0.0,0.6568703164660334,15.901980894621724,15.24511057815569,0.4551699950131632,0.4551537627133415,15.325731217584172,20.7254526103942,2.938759543833952,13.255353149075482,0.0380176510946567,2.648938825208152
ZTF18aakoylt,disk,disk,0.0,0.0,0.348836504773427,23.27668403295469,22.927847528181267,0.0155829106500949,0.0141395941172164,13.997673571119831,14.988419569258932,0.0273338916148069,5.175427589023606,0.1700774641880751,1.8085083228152867
ZTF18aakpigz,bulge,elliptical,0.0,0.0,0.6884683924945776,19.15229559771397,18.46382720521939,0.0839698375217825,0.0825794550282714,14.887695577750392,18.71539842966148,0.0836661527423881,3.536596808347328,0.5912583021623599,2.7656862917892218
ZTF18aalurka,bulge,elliptical,0.0,0.0,0.7483945653860467,22.812071460144164,22.06367689475812,0.0289788321438189,0.0294457372477597,20.753660958894866,28.08163624566533,0.1281213084529656,9.165934818041796,0.06337374869712,0.1108121662921798
ZTF18aamlhee,bulge,elliptical,0.0,0.0,0.8076045603891906,22.8926413900735,22.08503682968431,0.0118642954502002,0.0119265675760075,21.204876728494163,27.101326287443065,0.0348807057523216,6.387327600852709,0.0916315515156935,1.3270260989294833
ZTF18aamsgjq,bulge,elliptical,0.0,0.0,0.7646392512318521,18.255229512019945,17.490590260788093,0.1353488191920857,0.1353757517255086,25.950818765822596,36.20373745340699,0.8389141822706163,15.56084211803953,0.3598116409095828,1.6073042833419118
ZTF18aaobjwr,bulge,elliptical,0.0,0.0,0.7827420965189162,22.536250444784454,21.753508348265537,0.0700464073411022,0.0696687287408398,19.02194058327917,25.54288444968306,0.23678303799582,7.633310176751152,0.1646875687287449,2.5363612506430817
ZTF18aaocqhe,disk,disk,0.0,0.0,0.5634051843575101,20.45756200778777,19.894156823430265,0.0125577062145441,0.014067725712381,11.86473188281965,13.12307409857777,0.0191237861656001,4.069900239990392,0.4269897655474013,1.2078663868117898
ZTF18aaodnxt,bulge,elliptical,0.0,0.0,0.8534675239962901,23.783204771622216,22.929737247625926,0.2229417023655173,0.2226852135945034,23.355988616045156,34.35987106415619,2.0401716247153305,20.440930715470284,0.2428034437009426,0.2642343695400616
ZTF18aaotzhu,bulge,elliptical,0.0,0.0,0.7456336370313643,26.473069475833796,25.72743583880243,0.0426727787657647,0.042524639219098,18.32945751475871,24.067926503349145,0.0967671573330266,5.51188420397206,0.265484037920365,1.0027190727597926
ZTF18aaoufjt,disk,disk,0.0,0.0,0.5247177844234656,20.156235503234768,19.631517718811303,0.0111276075740942,0.0098053013278774,8.798620876615171,9.565896550263748,0.0062933314877337,2.664596672614001,0.3803224811745371,2.6682661141353194
ZTF18aapqwyv,bulge,elliptical,0.0,0.0,0.6365240676609591,16.11104987154289,15.47452580388193,0.6092252711579735,0.6094902395730053,8.704928563821452,11.644587198796142,2.164433169639909,7.596772493361746,0.0558347710714334,1.3106245792553963
ZTF18aaqcugm,bulge,elliptical,0.0,0.0,0.7121270693592052,26.29453336257253,25.582406293213324,0.050842128967324,0.0505808273068017,17.8466140101319,22.82823538519842,0.102620377999464,5.4472817873831,0.3829050251030897,2.4715976130130333
ZTF18aaqedfj,bulge,elliptical,0.0,0.0,0.6224829770515754,22.125348911102304,21.502865934050728,0.1364206505946376,0.1341527810138313,7.284713511930573,9.114128922449268,0.1177951694969097,2.3423732222663656,0.3441506589146518,0.8992211204603993
ZTF18aaqfkqh,bulge,elliptical,0.0,0.0,0.762524004784467,22.427232047818933,21.664708043034462,0.0271007079693012,0.0271512247891225,32.04864945899993,42.59489698146516,0.1370264035984861,10.619345518849377,0.1109877594909498,0.4883060861220633
ZTF18aaqfziz,bulge+bar+disk,disk,0.0,1.3516152158839607e-16,0.6150937656027011,22.131116402415888,21.516022636813187,0.0170185505159244,0.0175688678188577,37.2062522857893,43.11332755858789,0.0939367214867702,17.499958389189075,0.3178401057094933,1.96609083443078
ZTF18aaqkcso,bulge,elliptical,0.0,0.0,0.6019400897445948,20.28581342174737,19.683873332002776,1.1623025127857334,1.1617277751956336,1.863367568635588,2.46603589500976,1.1351061338064856,2.1455571720325826,0.1241112350240154,1.4093325464880375
ZTF18aaqkqxi,bulge,elliptical,0.0,0.0,0.7094153041019808,19.69990601055325,18.99049070645127,0.0430498103697397,0.0428579848122436,13.035128605420242,15.6576004318809,0.0734418721511185,4.440588768072487,0.3564877128512732,0.7687638166613152
ZTF18aaqpkvx,bulge,elliptical,0.0,0.0,0.637728139186887,19.45894625441978,18.82121811523289,0.0513761229564037,0.0511457214526601,14.828036515488314,18.45316545963482,0.0683864746466229,3.8402209875650177,0.4335309598838386,1.989589585862096
ZTF18aaqqhis,bulge,elliptical,0.0,0.0,0.5752880120811703,17.582337451450364,17.007049439369194,0.0588499578406604,0.0587055043817978,10.59000374250114,13.055751628795043,0.0647490400618176,2.858560082319392,0.2798900481054361,3.120016311491332
ZTF18aarbgdn,bulge,elliptical,0.0,0.0,0.5990332876613209,18.911341886213552,18.31230859855223,0.0146632388965791,0.0151329965053587,13.789957832667753,15.889123943136768,0.021275757703475,3.1148157782322263,0.023148206398417,3.169217114694584
ZTF18aarikzk,bulge,elliptical,0.0,0.0,0.6989377787305671,16.875920517796043,16.176982739065476,0.2464857129358725,0.2446242050043615,13.610322166026693,18.367129056037825,0.6888527315290891,6.709873215438658,0.237862935158581,0.1191514169679584
ZTF18aarlukc,bulge,elliptical,0.0,0.0,0.687488840591552,17.745757398565974,17.058268557974422,0.2022842782037493,0.202234441632634,15.068330132080629,20.548887476735487,1.2926564165031351,12.90228407150929,0.0754336484177455,1.4896742910679668
ZTF18aaroihe,bulge,elliptical,0.0,0.0,0.7636919109488929,22.882330641454825,22.11863873050593,0.0618192412748878,0.0619064662733118,26.34958720557571,36.43555395288942,0.4332762086423637,15.80728223366366,0.2487503905813891,2.445745234943276
ZTF18aasrsst,bulge,elliptical,0.0,0.0,0.703412609273272,23.415388874580184,22.711976265306912,0.0288885786015613,0.0291766537457713,23.01310142727929,29.76787947356413,0.0966869409973711,7.4440618786600465,0.2031721264153195,0.5274833250389448
